close,SMA_trend,WMA_trend,RSI_trend,STOCHRSIk_trend,STOCHRSId_trend,WILLR_trend,CCI_trend,AD_trend,MACD_trend
7781.899901999999,-1,-1,-1,-1,-1,1,-1,1,1
7765.399901999999,-1,-1,1,-1,-1,1,-1,1,1
7701.700195,-1,-1,1,-1,-1,1,-1,1,1
7612.5,-1,-1,1,-1,-1,1,-1,1,1
7683.299805,-1,-1,1,1,-1,1,-1,1,1
7610.450195,-1,-1,1,-1,-1,1,-1,1,-1
7650.049805,-1,-1,1,1,-1,1,-1,1,-1
7700.899901999999,1,1,1,1,-1,1,-1,1,1
7750.899901999999,1,1,1,-1,-1,1,-1,1,1
7844.350098000001,1,1,1,-1,-1,1,-1,1,1
7761.950195,1,1,-1,-1,-1,1,-1,1,1
7834.450195,1,1,1,1,-1,1,-1,1,1
7786.100098000001,1,1,-1,-1,-1,1,-1,1,1
7865.950195,1,1,1,1,-1,1,-1,1,1
7861.049805,1,1,-1,1,-1,1,-1,1,1
7925.149901999999,1,1,1,1,-1,1,-1,1,1
7928.950195,1,1,1,-1,-1,1,-1,1,1
7896.25,1,1,-1,-1,-1,1,-1,1,1
7946.350098000001,1,1,1,1,-1,1,-1,1,1
7868.824951500001,-1,-1,-1,-1,-1,1,-1,1,1
7791.299805,-1,-1,-1,-1,-1,1,-1,1,1
7784.649901999999,-1,-1,-1,-1,-1,1,-1,1,1
7741.0,-1,-1,-1,-1,-1,1,-1,1,1
7568.299805,-1,-1,1,-1,-1,1,-1,1,-1
7601.350098000001,-1,-1,1,1,-1,1,-1,1,-1
7563.850098000001,-1,-1,1,-1,-1,1,-1,1,-1
7510.299805,-1,-1,1,-1,-1,1,-1,1,-1
7562.399901999999,-1,-1,1,1,-1,1,-1,1,-1
7536.799805,-1,-1,-1,-1,-1,1,-1,1,-1
7437.799805,-1,-1,1,-1,-1,1,-1,1,-1
7351.0,-1,-1,1,-1,-1,1,-1,1,-1
7435.100098000001,-1,-1,1,1,-1,1,-1,1,-1
7309.299805,-1,-1,1,-1,-1,1,-1,1,-1
7276.799805,-1,-1,1,-1,-1,1,-1,1,-1
7422.450195,1,1,1,1,-1,1,-1,1,-1
7436.149901999999,1,1,1,-1,-1,1,-1,1,-1
7437.75,1,1,1,-1,-1,1,-1,1,-1
7424.649901999999,1,1,-1,-1,-1,1,-1,1,-1
7563.549805,1,1,1,1,-1,1,-1,1,1
7555.950195,1,1,-1,-1,-1,1,-1,1,1
7455.549805,-1,-1,-1,-1,-1,1,-1,1,1
7361.799805,-1,-1,-1,-1,-1,1,-1,1,1
7404.0,-1,-1,1,1,-1,1,-1,1,1
7489.100098000001,1,1,1,1,-1,1,-1,1,1
7387.25,-1,-1,-1,-1,-1,1,-1,1,1
7298.200195,-1,-1,-1,-1,-1,1,-1,1,1
7215.700195,-1,-1,1,-1,-1,1,-1,1,-1
6976.350098000001,-1,-1,1,-1,-1,1,-1,1,-1
6980.950195,-1,-1,1,1,-1,1,-1,1,-1
7162.950195,-1,1,1,1,-1,1,-1,1,-1
7048.25,-1,-1,-1,-1,-1,1,-1,1,-1
7108.450195,-1,1,1,1,-1,1,-1,1,-1
7191.75,1,1,1,1,-1,1,-1,1,-1
7210.75,1,1,1,-1,-1,1,-1,1,-1
7234.549805,1,1,1,-1,-1,1,-1,1,1
7109.549805,-1,-1,-1,-1,-1,1,-1,1,1
7018.700195,-1,-1,-1,-1,-1,1,-1,1,1
6970.600098000001,-1,-1,-1,-1,-1,1,-1,1,-1
7029.75,-1,-1,1,1,-1,1,-1,1,-1
6987.049805,-1,-1,-1,1,-1,1,-1,1,-1
7222.299805,1,1,1,1,-1,1,-1,1,1
7368.850098000001,1,1,1,1,-1,1,-1,1,1
7475.600098000001,1,1,-1,-1,-1,1,-1,1,1
7485.350098000001,1,1,-1,-1,-1,1,-1,1,1
7485.299805,1,1,-1,-1,-1,1,-1,1,1
7531.799805,1,1,-1,1,-1,1,-1,1,1
7486.149901999999,1,1,-1,-1,-1,1,-1,1,1
7510.200195,1,1,1,1,-1,1,-1,1,1
7538.75,1,1,-1,1,-1,1,-1,1,1
7460.600098000001,-1,-1,-1,-1,-1,1,-1,1,1
7498.75,-1,-1,1,1,-1,1,-1,1,1
7512.549805,1,1,1,1,-1,1,-1,1,1
7604.350098000001,1,1,-1,1,-1,1,-1,1,1
7704.25,1,1,-1,-1,-1,1,-1,1,1
7714.899901999999,1,1,-1,-1,-1,1,-1,1,1
7716.5,1,1,-1,-1,-1,1,-1,1,1
7615.100098000001,-1,-1,-1,-1,-1,1,-1,1,1
7597.0,-1,-1,-1,-1,-1,1,-1,1,1
7735.200195,1,1,1,1,-1,1,-1,1,1
7738.399901999999,1,1,1,1,-1,1,-1,1,1
7713.049805,1,1,-1,1,-1,1,-1,1,1
7758.799805,1,1,1,1,-1,1,-1,1,1
7603.200195,-1,-1,-1,-1,-1,1,-1,1,1
7614.350098000001,-1,-1,1,1,-1,1,-1,1,-1
7546.450195,-1,-1,-1,-1,-1,1,-1,1,-1
7555.200195,-1,-1,1,1,-1,1,-1,1,-1
7671.399901999999,1,1,1,1,-1,1,-1,1,-1
7708.950195,1,1,1,-1,-1,1,-1,1,-1
7850.450195,1,1,-1,-1,-1,1,-1,1,1
7914.700195,1,1,-1,-1,-1,1,-1,1,1
7914.75,1,1,-1,-1,-1,1,-1,1,1
7912.049805,1,1,-1,-1,-1,1,-1,1,1
7899.299805,1,1,-1,-1,-1,1,-1,1,1
7855.049805,-1,-1,-1,-1,-1,1,-1,1,1
7962.649901999999,1,1,-1,1,-1,1,-1,1,1
7979.899901999999,1,1,-1,1,-1,1,-1,1,1
7847.25,-1,-1,-1,-1,-1,1,-1,1,1
7849.799805,-1,-1,1,1,-1,1,-1,1,-1
7805.899901999999,-1,-1,-1,-1,-1,1,-1,1,-1
7747.0,-1,-1,-1,-1,-1,1,-1,1,-1
7706.549805,-1,-1,-1,-1,-1,1,-1,1,-1
7735.5,-1,-1,1,1,-1,1,-1,1,-1
7733.450195,-1,-1,-1,1,-1,1,-1,1,-1
7866.049805,1,1,1,1,-1,1,-1,1,-1
7887.799805,1,1,1,-1,-1,1,-1,1,-1
7848.850098000001,1,1,-1,-1,-1,1,-1,1,-1
7900.399901999999,1,1,1,1,-1,1,-1,1,-1
7814.899901999999,-1,-1,-1,-1,-1,1,-1,1,-1
7860.75,1,1,1,1,-1,1,-1,1,-1
7890.75,1,1,1,1,-1,1,-1,1,-1
7870.149901999999,1,1,-1,-1,-1,1,-1,1,-1
7783.399901999999,-1,-1,-1,-1,-1,1,-1,1,-1
7749.700195,-1,-1,-1,-1,-1,1,-1,1,-1
7731.049805,-1,-1,-1,-1,-1,1,-1,1,-1
7748.850098000001,-1,-1,1,1,-1,1,-1,1,-1
7934.899901999999,1,1,1,1,-1,1,-1,1,-1
8069.649901999999,1,1,-1,-1,-1,1,-1,1,1
8156.649901999999,1,1,-1,-1,-1,1,-1,1,1
8178.5,1,1,-1,-1,-1,1,-1,1,1
8160.100098000001,1,1,-1,-1,-1,1,-1,1,1
8179.950195,1,1,-1,-1,-1,1,-1,1,1
8218.950195,1,1,-1,1,-1,1,-1,1,1
8220.799805,1,1,-1,1,-1,1,-1,1,1
8201.049805,1,1,-1,-1,-1,1,-1,1,1
8266.450195,1,1,-1,1,-1,1,-1,1,1
8273.049805,1,1,-1,1,-1,1,-1,1,1
8203.599609,-1,-1,-1,-1,-1,1,-1,1,1
8170.049805,-1,-1,-1,-1,-1,1,-1,1,1
8110.600098000001,-1,-1,-1,-1,-1,1,-1,1,-1
8108.850098000001,-1,-1,-1,-1,-1,1,-1,1,-1
8206.599609,1,1,1,1,-1,1,-1,1,-1
8140.75,-1,-1,-1,-1,-1,1,-1,1,-1
8170.200195,1,1,1,1,-1,1,-1,1,-1
8238.5,1,1,1,1,-1,1,-1,1,-1
8219.900391,1,1,-1,-1,-1,1,-1,1,-1
8203.700195,1,1,-1,-1,-1,1,-1,1,-1
8270.450195,1,1,1,1,-1,1,-1,1,-1
8088.600098000001,-1,-1,-1,-1,-1,1,-1,1,-1
8094.700195,-1,-1,1,1,-1,1,-1,1,-1
8127.850098000001,-1,-1,1,1,-1,1,-1,1,-1
8204.0,1,1,1,1,-1,1,-1,1,-1
8287.75,1,1,1,1,-1,1,-1,1,-1
8328.349609,1,1,1,-1,-1,1,-1,1,-1
8370.700195,1,1,-1,1,-1,1,-1,1,1
8335.950195,1,1,-1,-1,-1,1,-1,1,1
8337.900391,1,1,1,-1,-1,1,-1,1,1
8323.200195,1,-1,-1,-1,-1,1,-1,1,1
8467.900391,1,1,-1,1,-1,1,-1,1,1
8521.049805,1,1,-1,-1,-1,1,-1,1,1
8519.5,1,1,-1,-1,-1,1,-1,1,1
8565.0,1,1,-1,1,-1,1,-1,1,1
8541.400391,1,1,-1,-1,-1,1,-1,1,1
8508.700195,1,-1,-1,-1,-1,1,-1,1,1
8528.549805,1,1,1,1,-1,1,-1,1,1
8565.849609,1,1,-1,1,-1,1,-1,1,1
8510.099609,-1,-1,-1,-1,-1,1,-1,1,1
8541.200195,1,1,1,1,-1,1,-1,1,1
8635.650391,1,1,-1,1,-1,1,-1,1,1
8590.650391,1,1,-1,-1,-1,1,-1,1,1
8615.799805,1,1,1,1,-1,1,-1,1,1
8666.299805,1,1,-1,1,-1,1,-1,1,1
8638.5,1,1,-1,-1,-1,1,-1,1,1
8636.549805,1,1,-1,-1,-1,1,-1,1,-1
8622.900391,-1,-1,-1,-1,-1,1,-1,1,-1
8544.849609,-1,-1,-1,-1,-1,1,-1,1,-1
8551.099609,-1,-1,1,1,-1,1,-1,1,-1
8683.150391,1,1,1,1,-1,1,-1,1,-1
8711.349609,1,1,1,-1,-1,1,-1,1,-1
8678.25,1,1,-1,-1,-1,1,-1,1,-1
8575.299805,-1,-1,-1,-1,-1,1,-1,1,-1
8592.150391,-1,-1,1,1,-1,1,-1,1,-1
8617.350097999999,-1,-1,1,1,-1,1,-1,1,-1
8642.549805,-1,1,1,1,-1,1,-1,1,-1
8624.049805,-1,1,-1,1,-1,1,-1,1,-1
8673.25,1,1,1,1,-1,1,-1,1,-1
8666.900391,1,1,-1,-1,-1,1,-1,1,-1
8629.150391,-1,-1,-1,-1,-1,1,-1,1,-1
8632.599609,-1,-1,1,1,-1,1,-1,1,-1
8650.299805,1,1,1,1,-1,1,-1,1,-1
8592.200195,-1,-1,-1,-1,-1,1,-1,1,-1
8572.549805,-1,-1,-1,-1,-1,1,-1,1,-1
8607.450195,-1,-1,1,1,-1,1,-1,1,-1
8744.349609,1,1,1,1,-1,1,-1,1,-1
8786.200195,1,1,-1,1,-1,1,-1,1,1
8774.650391,1,1,-1,-1,-1,1,-1,1,1
8809.650391,1,1,-1,1,-1,1,-1,1,1
8943.0,1,1,-1,-1,-1,1,-1,1,1
8917.950195,1,1,-1,-1,-1,1,-1,1,1
8952.5,1,1,-1,1,-1,1,-1,1,1
8866.700195,1,-1,-1,-1,-1,1,-1,1,1
8715.599609,-1,-1,-1,-1,-1,1,-1,1,1
8726.599609,-1,-1,1,1,-1,1,-1,1,-1
8742.549805,-1,-1,1,1,-1,1,-1,1,-1
8779.849609,-1,1,1,1,-1,1,-1,1,-1
8808.400391,1,1,1,1,-1,1,-1,1,-1
8775.900391,1,1,-1,-1,-1,1,-1,1,-1
8777.150391,1,1,1,-1,-1,1,-1,1,-1
8867.450195,1,1,1,1,-1,1,-1,1,-1
8831.549805,1,1,-1,-1,-1,1,-1,1,-1
8723.049805,-1,-1,-1,-1,-1,1,-1,1,-1
8706.400391,-1,-1,-1,-1,-1,1,-1,1,-1
8745.150391,-1,-1,1,1,-1,1,-1,1,-1
8591.25,-1,-1,1,-1,-1,1,-1,1,-1
8611.150391,-1,-1,1,1,-1,1,-1,1,-1
8738.099609,1,1,1,1,-1,1,-1,1,-1
8769.150391,1,1,1,-1,-1,1,-1,1,-1
8743.950195,1,1,-1,-1,-1,1,-1,1,-1
8709.549805,1,-1,-1,-1,-1,1,-1,1,-1
8697.599609,1,-1,-1,-1,-1,1,-1,1,-1
8708.799805,-1,-1,1,1,-1,1,-1,1,-1
